artist,timestamp,monthly_listeners,change_since_yesterday,change_past_2_days,change_past_3_days,pct_since_yesterday,pct_past_2_days,pct_past_3_days,listeners_3days_ago,listeners_2days_ago,listeners_1day_ago,change_day1_to_day2,pct_day1_to_day2,change_day2_to_day3,pct_day2_to_day3
Grace Ives,2026-03-22 13:56 UTC,618939,0.0,,,0.0,,,,618939.0,618939.0,,,,
Grace Ives,2026-03-22 13:56 UTC,618939,0.0,,,0.0,,,,618939.0,618939.0,,,,
Grace Ives,2026-03-22 13:56 UTC,618939,0.0,,,0.0,,,,618939.0,618939.0,,,,
King Kylie,2026-03-22 13:56 UTC,541967,0.0,,,0.0,,,,541967.0,541967.0,,,,
King Kylie,2026-03-22 13:56 UTC,541967,0.0,,,0.0,,,,541967.0,541967.0,,,,
King Kylie,2026-03-22 13:56 UTC,541967,0.0,,,0.0,,,,541967.0,541967.0,,,,
underscores,2026-03-22 13:56 UTC,1124682,,,,,,,,,1124682.0,,,,
Iceage,2026-03-22 13:56 UTC,476127,,,,,,,,,476127.0,,,,
Bruno,2026-03-22 13:56 UTC,20731,,,,,,,,,20731.0,,,,
Canyon,2026-03-22 13:56 UTC,18948,,,,,,,,,18948.0,,,,
Lightris,2026-03-22 13:56 UTC,357090,,,,,,,,,357090.0,,,,
Leni Woess,2026-03-22 13:56 UTC,395633,,,,,,,,,395633.0,,,,
Charlotte Aitchison,2026-03-22 13:56 UTC,466003,,,,,,,,,466003.0,,,,
Banjaare,2026-03-22 13:56 UTC,6501399,,,,,,,,,6501399.0,,,,
Corridos del Rey,2026-03-22 13:56 UTC,277423,,,,,,,,,277423.0,,,,
SadBoi,2026-03-22 13:56 UTC,825749,,,,,,,,,825749.0,,,,
Temper City,2026-03-22 13:56 UTC,3194073,,,,,,,,,3194073.0,,,,
Bausa,2026-03-22 13:56 UTC,2487488,,,,,,,,,2487488.0,,,,
Noémi Büchi,2026-03-22 13:56 UTC,28160,,,,,,,,,28160.0,,,,
sam e hues,2026-03-22 13:56 UTC,159327,,,,,,,,,159327.0,,,,
Mannywellz,2026-03-22 13:56 UTC,394530,,,,,,,,,394530.0,,,,
Aiyana-Lee,2026-03-22 13:56 UTC,946579,,,,,,,,,946579.0,,,,
Stopthis,2026-03-22 13:56 UTC,30207,,,,,,,,,30207.0,,,,
Moin,2026-03-22 13:56 UTC,68013,,,,,,,,,68013.0,,,,
Slayyyter,2026-03-22 13:56 UTC,2294704,,,,,,,,,2294704.0,,,,
Slayr,2026-03-22 13:56 UTC,843776,,,,,,,,,843776.0,,,,
twentythree,2026-03-22 13:56 UTC,798739,,,,,,,,,798739.0,,,,
RealestK,2026-03-22 13:56 UTC,1927847,,,,,,,,,1927847.0,,,,
Damon Price,2026-03-22 13:56 UTC,756129,,,,,,,,,756129.0,,,,
Ruston Gray,2026-03-22 13:56 UTC,424427,,,,,,,,,424427.0,,,,
The Second Voice,2026-03-22 13:56 UTC,920976,,,,,,,,,920976.0,,,,
